comment_text,like_count,reply_count,published_at
1.52 metode leadership,0,0,2024-02-22T02:34:11Z
1.18 negativity hutang,0,0,2024-02-22T01:53:18Z
01 jika punya program .  Sampaikan dn buktikan... JGN MENJATUHKAN,1,1,2024-02-21T21:42:47Z
01  trnyta jahat... hrsnya jd panutan...,0,0,2024-02-21T21:40:19Z
"Anies sudah sadar Prabowo jadi Syiwa, dewa yang utama",0,0,2024-02-21T19:58:10Z
Pintar ngomong kinerjanya sendiri nda sesuai dengan omongannya,0,0,2024-02-21T18:55:05Z
Anis baru mulai udah nyerang . Anjir ganas banget corotnya  ..,0,0,2024-02-21T07:18:12Z
"Penyakit atau virus negara yang korupsi,jin negara yang korupsi,jin ifrid dan jin Idris berkeliaran di negara",0,0,2024-02-20T18:10:17Z
Jelas bgt anis ganjar hnya omon2..,0,0,2024-02-20T12:47:44Z
Saya berharap pak prabowo bs jd presiden berikutnya .. Sy merasakan ketulusan pak prabowo utk Indonesia..,2,1,2024-02-20T12:31:05Z
Salut sm pak prabowo..,0,0,2024-02-20T12:29:38Z
"Muak dengan ketawa anis,,",2,1,2024-02-20T08:24:10Z
"kayaknya sinis banget Si anis,, apa ada dendam intern ya",0,0,2024-02-19T23:34:55Z
anies anies makan tu karma ..,0,0,2024-02-19T21:17:01Z
solo vs squad.. debat apaan ini,0,0,2024-02-19T21:10:42Z
tv one JANCOK maen potong perkataan bapak prabowo. !,0,0,2024-02-19T18:32:29Z
💋💋💋❤ prab w,0,1,2024-02-19T17:05:48Z
"Kalau anis ngomong atau ikut rapat dunia, takut nya pada mau ngebom Indonesia lagi karena songong dan sok pinter",2,0,2024-02-19T12:49:52Z
Mantap prab w asu kan semua nya gok gok gok,0,0,2024-02-19T12:45:26Z
"Apa ya yg disukai dr anis ini, astaghfirullah haladzim ga paham lagi, kok ada ya manusia kaya gini",1,0,2024-02-19T12:41:38Z
"Pak, bukti nyata tanpa omong kosong, dan janji2 manis itu hanya bisa dilakukan oleh bapak,
01 sangatlah merasa pintar sehingga dia rela menjatuhkan orang yang pernah menolong dia tanpa harus dikembalikan, astaghfirullah haladzim ada ya manusia macam itu",0,0,2024-02-19T12:14:39Z
"Ganj p sudah kalah anis kalah sekarang mereka ronde cawapres, kapan penyerbuan di balai kota presiden, lebih jantan prab w ketika tawuran melawan geng jokowi, sekarang geng jokowi bersatu dengan geng prab w,sak lawase kalau tidak korupsi gua doakan lagi kalau ikut capres",0,0,2024-02-19T11:45:48Z
ganjar ini aslinya gen kulitnya hitam tp ganjar rutin perawatan 🤣,0,0,2024-02-19T08:55:27Z
Ganjarukem dan anisa soryyy...yyeee..,0,0,2024-02-19T05:16:09Z
Anis cerdas sekali berbicara,0,0,2024-02-19T04:36:16Z
Nanya tentang pertahanan ke menteri pertahanan sekaligus tentara Indonesia. 01 03 kan bukan org militer mana ngerti ttg Perang. 🤣,0,0,2024-02-19T02:35:52Z
"Inilah yang membuag banyak orang memilih Prabowo ... Dan terbukti kan sekarang ...
Saya waktu awal awal masih ngambang milih siapa ... Tapi setelah berkali kali debat Capres serta debat cawapres .. hati nurani saya langsung melihat dengan jelas bahwa Hanya Paslon 02 Prabowo Gibran yang memilikk kejujuran dan keihlasan hati untuk maju sebagai Presiden dan wakil ... 
Mantaplah saya milih 02 ...
Dan alhamdulilah ALLAH memberikab jawaban yang sesuai harapan saya
Terima kasih ALLAH .... 02 PRESIDEN DAN WAKIL PRESIDEN REPUBLIK INDONESIA",2,0,2024-02-18T17:31:10Z
"Siapapun presidennya
Kita tetap jadi kuli dunia😅😅",0,1,2024-02-18T16:22:57Z
"ANIS ASU EDAN juara nya bacot dan ganjar bnar bnar tak ber etika brani brani nya buka rasia negara di dpan publik sungguh tak tau malu ,terlihat jlas dimata nya ingin memenang kn pemilu dan menghalal kn sgala cara sok bersih pdahal dia lbih mnjijik kn CUHHHH ,sala waras pilihn ku tetap pak prabowo 02✌✌✌✌✌",0,2,2024-02-18T15:18:07Z
"Ganjar Pranoto kalah anies qaswedan juga kalah,prab w banyak uang nya ikut capres 3 kali sekarang menang, apakah punya dendam sama rakyat,plis jangan dendam sama rakyat, tolong jangan korupsi, subur kan Indonesia dengan hujan uang, gua dukung lhu lagi jadi presiden yang akan datang asal hujan uang nya deras",0,0,2024-02-18T13:35:14Z
"Nonton debat setelah pemilu, tapi menurut saya mah yang paling mending debatnya ya pak anies ya😅",0,0,2024-02-18T07:53:34Z
"Pak Prabowo lengkap..
Salam pembukaan lengkap Islam, Kristen, hindu, Buddha.",2,0,2024-02-18T02:42:09Z
Topiknya yang terpilih kayak disengaja banget buat menyudutkan pak prabowo dengan alih-alih debat,0,0,2024-02-17T20:25:53Z
Si Anies mbulet kayak benang kusut 😊😂,0,0,2024-02-17T16:06:56Z
pd dikti now,0,0,2024-02-17T15:07:15Z
"Kayak nyari"" kesalahan",0,0,2024-02-17T14:35:40Z
Ini Anis parah banget terlalu menyerang pribadi etika nya udah kelihatan kamu Anis  tadi nanyak etika tapi etika anda  ngaca dulu ya,0,0,2024-02-17T14:30:53Z
"Flash back liat debat presiden ini
01 & 03 presiden koq doyan nyinyir yaa 🤣🤣🤣

01 & 03 ketauan bodohnya yaa
Sangat wajar kalo hasil pemilunya jauh di bawah rata-rata
Kasian banget ini paslon 01 & 03
Kabar terakhir pendukungnya pada demo karna merasa dicurangi wkt pemilu 🤣🤣🤣

Kasian banget yaa.. harusnya para pendukung 01 & 03 berkaca dari video debat capres ini
Bukan malah teriak-teriak pemilu curang
Kasian banget deeh 🤣🤣🤣",0,0,2024-02-17T14:28:24Z
"Ini Anis ngapain nanyak pribadi ya ,kampret bnget",0,0,2024-02-17T12:30:33Z
"Semangat pak prabowo, makasih udah berjuang sampai pak prabowo jadi presiden🎉🎉❤❤",3,0,2024-02-17T11:35:12Z
"Anis ini nyalain orang truss😂  tapi dia GK ngaca apa kabar Lo untuk jadi gubernur Jakarta 😂 GK ada hujan aj bisa banjir😂😂 yaallah dulu aku milih dia Lo jadi gubernur nyesel aku sumpah 😢 janji"" palsu!",0,0,2024-02-17T11:29:18Z
Prabowo ❤,0,0,2024-02-17T11:26:39Z
P ANIS GANJAR 17/100 25/100,0,0,2024-02-17T04:11:55Z
"Dulu saya .pilih 01 .tp setelah deban suka mengolok"" hati saya jadi berpaling 02",0,0,2024-02-17T03:11:29Z
Emang prestasi ganjar apa sih😂,0,0,2024-02-16T22:30:10Z
"Berdirilah tanpa menjatuhkan, lucu aja liat 01 sama 03.banyak pake data ujungnya kalah juga😂😂😂😂😂😂
Wkwkwkkk kasian",0,0,2024-02-16T18:47:19Z
Plb.,0,0,2024-02-16T18:46:13Z
"03 gayane... 🤣
akhirnya nyungsep😂",0,0,2024-02-15T13:15:53Z
aduh gak taat aturan bahh,0,0,2024-02-13T16:41:55Z
"justru gaza rakyat yg paling kuat pak, 70an taon gak bisa dijinakin oh bapak🤦🏻‍♀️",1,0,2024-02-13T16:36:00Z
